"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","bachelor's degree","standard","","72","72","74"
"female","group C","some college","standard","completed","69","90","88"
"female","group B","master's degree","standard","","90","95","93"
"male","group A","associate's degree","free/reduced","","47","57","44"
"male","group C","some college","standard","","76","78","75"
"female","group B","associate's degree","standard","","71","83","78"
"female","group B","some college","standard","completed","88","95","92"
"male","group B","some college","free/reduced","","40","43","39"
"male","group D","high school","free/reduced","completed","64","64","67"
"female","group B","high school","free/reduced","","38","60","50"
"male","group C","associate's degree","standard","","58","54","52"
"male","group D","associate's degree","standard","","40","52","43"
"female","group B","high school","standard","","65","81","73"
"male","group A","some college","standard","completed","78","72","70"
"female","group A","master's degree","standard","","50","53","58"
"female","group C","some high school","standard","","69","75","78"
"male","group C","high school","standard","","88","89","86"
"female","group B","some high school","free/reduced","","18","32","28"
"male","group C","master's degree","free/reduced","completed","46","42","46"
"female","group C","associate's degree","free/reduced","","54","58","61"
"male","group D","high school","standard","","66","69","63"
"female","group B","some college","free/reduced","completed","65","75","70"
"male","group D","some college","standard","","44","54","53"
"female","group C","some high school","standard","","69","73","73"
"male","group D","bachelor's degree","free/reduced","completed","74","71","80"
"male","group A","master's degree","free/reduced","","73","74","72"
"male","group B","some college","standard","","69","54","55"
"female","group C","bachelor's degree","standard","","67","69","75"
"male","group C","high school","standard","","70","70","65"
"female","group D","master's degree","standard","","62","70","75"
"female","group D","some college","standard","","69","74","74"
"female","group B","some college","standard","","63","65","61"
"female","group E","master's degree","free/reduced","","56","72","65"
"male","group D","some college","standard","","40","42","38"
"male","group E","some college","standard","","97","87","82"
"male","group E","associate's degree","standard","completed","81","81","79"
"female","group D","associate's degree","standard","","74","81","83"
"female","group D","some high school","free/reduced","","50","64","59"
"female","group D","associate's degree","free/reduced","completed","75","90","88"
"male","group B","associate's degree","free/reduced","","57","56","57"
"male","group C","associate's degree","free/reduced","","55","61","54"
"female","group C","associate's degree","standard","","58","73","68"
"female","group B","associate's degree","standard","","53","58","65"
"male","group B","some college","free/reduced","completed","59","65","66"
"female","group E","associate's degree","free/reduced","","50","56","54"
"male","group B","associate's degree","standard","","65","54","57"
"female","group A","associate's degree","standard","completed","55","65","62"
"female","group C","high school","standard","","66","71","76"
"female","group D","associate's degree","free/reduced","completed","57","74","76"
"male","group C","high school","standard","completed","82","84","82"
"male","group E","some college","standard","","53","55","48"
"male","group E","associate's degree","free/reduced","completed","77","69","68"
"male","group C","some college","standard","","53","44","42"
"male","group D","high school","standard","","88","78","75"
"female","group C","some high school","free/reduced","completed","71","84","87"
"female","group C","high school","free/reduced","","33","41","43"
"female","group E","associate's degree","standard","completed","82","85","86"
"male","group D","associate's degree","standard","","52","55","49"
"male","group D","some college","standard","completed","58","59","58"
"female","group C","some high school","free/reduced","","0","17","10"
"male","group E","bachelor's degree","free/reduced","completed","79","74","72"
"male","group A","some high school","free/reduced","","39","39","34"
"male","group A","associate's degree","free/reduced","","62","61","55"
"female","group C","associate's degree","standard","","69","80","71"
"female","group D","some high school","standard","","59","58","59"
"male","group B","some high school","standard","","67","64","61"
"male","group D","some high school","free/reduced","","45","37","37"
"female","group C","some college","standard","","60","72","74"
"male","group B","associate's degree","free/reduced","","61","58","56"
"female","group C","associate's degree","standard","","39","64","57"
"female","group D","some college","free/reduced","completed","58","63","73"
"male","group D","some college","standard","completed","63","55","63"
"female","group A","associate's degree","free/reduced","","41","51","48"
"male","group C","some high school","free/reduced","","61","57","56"
"male","group C","some high school","standard","","49","49","41"
"male","group B","associate's degree","free/reduced","","44","41","38"
"male","group E","some high school","standard","","30","26","22"
"male","group A","bachelor's degree","standard","completed","80","78","81"
"female","group D","some high school","standard","completed","61","74","72"
"female","group E","master's degree","standard","","62","68","68"
"female","group B","associate's degree","standard","","47","49","50"
"male","group B","high school","free/reduced","","49","45","45"
"male","group A","some college","free/reduced","completed","50","47","54"
"male","group E","associate's degree","standard","","72","64","63"
"male","group D","high school","free/reduced","","42","39","34"
"female","group C","some college","standard","","73","80","82"
"female","group C","some college","free/reduced","","76","83","88"
"female","group D","associate's degree","standard","","71","71","74"
"female","group A","some college","standard","","58","70","67"
"female","group D","some high school","standard","","73","86","82"
"female","group C","bachelor's degree","standard","","65","72","74"
"male","group C","high school","free/reduced","","27","34","36"
"male","group C","high school","standard","","71","79","71"
"male","group C","associate's degree","free/reduced","completed","43","45","50"
"female","group B","some college","standard","","79","86","92"
