"Review #","Brand","Variety","Style","Country","Stars","Top Ten"
"2580","New Touch","T's Restaurant Tantanmen","Cup","Japan","3.75",""
"2579","Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan","1",""
"2578","Nissin","Cup Noodles Chicken Vegetable","Cup","USA","2.25",""
"2577","Wei Lih","GGE Ramen Snack Tomato Flavor","Pack","Taiwan","2.75",""
"2576","Ching's Secret","Singapore Curry","Pack","India","3.75",""
"2575","Samyang Foods","Kimchi song Song Ramen","Pack","South Korea","4.75",""
"2574","Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan","4",""
"2573","Ikeda Shoku","Nabeyaki Kitsune Udon","Tray","Japan","3.75",""
"2572","Ripe'n'Dry","Hokkaido Soy Sauce Ramen","Pack","Japan","0.25",""
"2571","KOKA","The Original Spicy Stir-Fried Noodles","Pack","Singapore","2.5",""
"2570","Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand","5",""
"2569","Yamachan","Yokohama Tonkotsu Shoyu","Pack","USA","5",""
"2568","Nongshim","Mr. Bibim Stir-Fried Kimchi Flavor","Pack","South Korea","4.25",""
"2567","Nissin","Deka Buto Kimchi Pork Flavor","Bowl","Japan","4.5",""
"2566","Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong","5",""
"2565","KOKA","Mushroom Flavour Instant Noodles","Cup","Singapore","3.5",""
"2564","TRDP","Mario Masala Noodles","Pack","India","3.75",""
"2563","Yamachan","Tokyo Shoyu Ramen","Pack","USA","5",""
"2562","Binh Tay","Mi Hai Cua","Pack","Vietnam","4",""
"2561","Paldo","Premium Gomtang","Pack","South Korea","4",""
"2560","Nissin","Cup Noodles Laksa Flavour","Cup","Hong Kong","4.25",""
"2559","Jackpot Teriyaki","Beef Ramen","Pack","USA","5",""
"2558","KOKA","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore","5",""
"2557","Yamachan","Sapporo Miso Ramen","Pack","USA","4.75",""
"2556","Ching's Secret","Hot Garlic Instant Noodles","Pack","India","4.25",""
"2555","Samyang Foods","Song Song Kimchi Big Bowl","Bowl","South Korea","4.25",""
"2554","Yum-Mie","Instant Noodles Beef In Light Soup Flavour","Pack","Ghana","3.5",""
"2553","Nissin","Hakata Ramen Noodle White Tonkotsu","Bowl","Japan","4.75",""
"2552","MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia","5",""
"2551","KOKA","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore","4",""
"2550","Samyang Foods","Paegaejang Ramen","Pack","South Korea","5",""
"2549","Nissin","Gekikara Ramen Extra Hot Ramen Goreng","Pack","Indonesia","4.5",""
"2548","Ottogi","Plain Instant Noodle No Soup Included","Pack","South Korea","Unrated",""
"2547","Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China","4",""
"2546","New Touch","Sugo-Men Kyoto Backfat Shoyu Ramen","Bowl","Japan","3.75",""
"2545","KOKA","Instant Noodles Laksa Singapura Flavour","Pack","Singapore","5",""
"2544","Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","Box","USA","1.5",""
"2543","KOKA","Curry Flavour Instant Noodles","Cup","Singapore","5",""
"2542","Acecook","Super Cup Yochan Ika Yakisoba","Tray","Japan","1.5",""
"2541","Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","USA","5",""
"2540","Wei Lih","GGE Noodle Snack Wheat Crackers Mexican Spicy","Pack","Taiwan","3.25",""
"2539","Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Cup","Hong Kong","3.75",""
"2538","Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","USA","5",""
"2537","Nissin","Cup NoodlesTom Yam Seafood","Cup","Singapore","5",""
"2536","Lele","Instant Noodles Beef","Pack","Ghana","3.5",""
"2535","Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","USA","5",""
"2534","Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan","4",""
"2533","Nongshim","Shin Ramyun Black","Pack","South Korea","5",""
"2532","Nissin","Nippon Onomichi Ramen","Bowl","Japan","4.75",""
"2531","Uni-President","Pickled Cabbage Beef","Pack","China","4.25",""
"2530","Ottogi","Ppushu Ppushu Noodle Snack Honey Butter","Pack","South Korea","2",""
"2529","Maruchan","Gotsumori Chanpon Ramen","Bowl","Japan","4.5",""
"2528","Prima","Juzz's Mee Creamy Chicken Flavour","Pack","Singapore","5",""
"2527","Uni-President","Mushroom Flavor","Pack","Vietnam","0",""
"2526","Samyang Foods","Jjamppong Big Bowl","Bowl","South Korea","4.5",""
"2525","Sokensha","Curry Udon","Pack","Japan","3.5",""
"2524","Nissin","Straits Reborn Laksa","Pack","Singapore","5",""
"2523","Nongshim","Budae Jjigae Noodle Soup","Pack","South Korea","4.5",""
"2522","Takamori","Hearty Japanese Style Curry Udon","Pack","Japan","5",""
"2521","Nissin","Cup Noodles Potato Chips Black Pepper Crab Flavour","Pack","Singapore","4.5",""
"2520","Nissin","Cup Noodles Blacl Pepper Crab Flavour","Cup","Singapore","5",""
"2519","Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea","1",""
"2518","Samurai Ramen","Umami Ramen","Pack","Japan","4",""
"2517","Ikeda Shoku","Nabeyaki Tempura Udoin","Bowl","Japan","4.5",""
"2516","Fujiwara","Hokkaido Hakodate Miso Ramen","Pack","Japan","3.5",""
"2515","Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan","5",""
"2514","Ogasawara","Kirin Giraffe Shoyu Ramen","Pack","Japan","4.5",""
"2513","Pringles","Nissin Top Ramen Chicken Flavor Potato Crisps","Can","USA","3.5",""
"2512","Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan","5",""
"2511","Samyang Foods","Samyang Ramen Classic Edition","Bowl","South Korea","5",""
"2510","MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia","5",""
"2509","Maggi","Hot Heads Green Chilli Noodles","Pack","India","3.5",""
"2508","Samyang Foods","Mala Buldak Bokkeummyun","Pack","South Korea","3.75",""
"2507","Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia","4",""
"2506","KOKA","Delight Chicken Flavor Instant Non-Fried Noodles","Pack","Singapore","3.75",""
"2505","Acecook","Super Cup Torigawa Shoyu","Bowl","Japan","3.5",""
"2504","Nongshim","Shin Ramyun","Pack","South Korea","3",""
"2503","Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China","0",""
"2502","Indomie","Onion Chicken Flavor","Pack","Nigeria","1.5",""
"2501","Happy Cook","Toona Paste Noodle","Pack","Taiwan","4",""
"2500","The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia","5",""
"2499","KOKA","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore","5",""
"2498","Nissin","Demae Ramen Spicy Beef","Pack","Germany","3.75",""
"2497","Nissin","Cup Noodles Spicy","Cup","Germany","3.75",""
"2496","Nissin","Soba Thai","Pack","Germany","4.5",""
"2495","Nissin","Cup Noodles Huhn","Cup","Germany","3.75",""
"2494","Nissin","Demae Ramen Korean Kimchi","Pack","Germany","3.5",""
"2493","Nissin","Cup Noodles Curry","Cup","Germany","3.75",""
"2492","Nissin","Smack Chili","Pack","Hungary","3.75",""
"2491","Nissin","Soba Yakitori Chicken","Cup","Germany","5",""
"2490","Nissin","Demae Ramen Garlic Chicken","Pack","Germany","3.5",""
"2489","Nissin","Cup Noodles Ente","Cup","Germany","3",""
"2488","Nissin","Demae Ramen Thai Tom Yum","Pack","Germany","3.75",""
"2487","Nissin","Soba Sukiyaki Beef","Cup","Germany","4.5",""
"2486","Nissin","Demae Ramen Spicy","Pack","Germany","3.5",""
"2485","Nissin","Cup Noodles Shrimps","Cup","Germany","3",""
"2484","Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany","4",""
"2483","Paldo","Bul Jjamppong","Bowl","South Korea","5",""
"2482","TTL","Chicken With Chinese Shaoxing Wine","Pack","Taiwan","4.75",""
"2481","Samyang Foods","Buldak Bokkeummyun","Cup","South Korea","3.75",""
"2480","Acecook","Pork Wantan Men","Bowl","Japan","4.25",""
"2479","E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia","4",""
"2478","Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan","5",""
"2477","Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan","5",""
"2476","Samyang Foods","Kimchi Stew Ramyun","Bowl","South Korea","4",""
"2475","Maruchan","Seimen Red Spicy Dandan Men","Bowl","Japan","4.75",""
"2474","Ottogi","Ppushu Ppushu Noodle Snack Chilli Cheese Flavor","Pack","South Korea","4.25",""
